Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-89.81637074199966 44.39319117400049),1980,Wisconsin,4712045,72,26,6689,2827,6301,388,5488,813,259,110,19,0,4602,1934,816,498,1169,5022,0,0
POINT (-108.10983035299967 43.23554134300048),1980,Wyoming,474185,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POINT (-86.63186076199969 32.84057112200048),1981,Alabama,3918533,67,8,2270,650,2010,260,1491,519,182,64,14,0,1387,819,354,81,96,2093,0,0
POINT (-147.72205903599973 64.84507995700051),1981,Alaska,418493,30,3,1061,34,998,63,778,220,39,21,3,0,614,234,102,699,136,226,0,0
POINT (-111.76381127699972 34.865970280000454),1981,Arizona,2810108,15,8,2540,380,2331,209,1712,619,164,30,15,0,938,538,336,947,371,1222,0,0
POINT (-92.27449074299966 34.74865012400045),1981,Arkansas,2293204,75,1,365,0,327,38,239,88,37,1,0,0,174,101,43,0,70,295,0,0
POINT (-120.99999953799971 37.63864012300047),1981,California,24285933,58,43,14379,1316,11871,2508,8608,3263,1239,609,660,0,7686,4726,2366,1904,3574,8901,0,0
POINT (-106.13361092099967 38.843840757000464),1981,Colorado,2977899,64,10,3424,226,3157,267,2146,1011,207,40,18,2,1700,868,437,1533,540,1351,0,0
POINT (-72.64984095199964 41.56266102000046),1981,Connecticut,3128837,8,6,1632,558,1309,323,782,527,138,110,75,0,1445,904,329,494,196,942,0,0
POINT (-75.57774116799965 39.008830667000495),1981,Delaware,595974,3,2,440,290,400,40,342,58,34,6,0,0,369,131,43,231,56,153,0,0
POINT (-77.036871 38.907192),1981,District Of Columbia,636893,1,1,365,0,320,45,78,242,32,12,1,0,201,105,66,157,144,64,0,0
POINT (-81.92896053899966 28.932040377000476),1981,Florida,10192775,67,12,4116,264,3849,267,2657,1192,226,40,1,0,1881,986,524,981,396,2739,0,0
POINT (-83.62758034599966 32.83968109300048),1981,Georgia,5568346,159,4,1301,159,1210,91,977,233,56,28,7,0,770,366,145,321,111,869,0,0
POINT (-157.85774940299973 21.304850435000446),1981,Hawaii,978195,5,1,361,4,361,0,324,37,0,0,0,0,80,51,30,304,2,55,0,0
POINT (-114.3637300419997 43.682630005000476),1981,Idaho,962204,44,1,295,70,279,16,117,162,16,0,0,0,147,92,55,295,0,0,0,0
POINT (-88.99771017799969 40.48501028300046),1981,Illinois,11443461,102,22,6370,1660,6137,233,5036,1101,188,36,9,0,3502,1460,759,1413,166,4791,0,0
POINT (-86.14996019399968 39.766910452000445),1981,Indiana,5480440,92,15,5128,347,4805,323,4072,733,231,81,11,0,2267,1158,463,362,2600,2166,0,0
POINT (-93.81649055599968 42.46940091300047),1981,Iowa,2907985,99,7,1683,872,1663,20,1391,272,18,2,0,0,758,386,195,666,109,908,0,0
POINT (-98.20078122699965 38.34774030000045),1981,Kansas,2384853,105,3,820,275,791,29,637,154,25,4,0,0,488,206,109,346,31,443,0,0
POINT (-84.77497104799966 37.645970271000465),1981,Kentucky,3670395,120,31,7349,3966,6909,440,5476,1433,365,68,7,0,4619,2479,1184,736,1488,5125,0,0
POINT (-92.44568007099969 31.31266064400046),1981,Louisiana,4283297,64,11,3064,951,2775,289,2171,604,216,61,12,0,1954,1035,433,104,234,2726,0,0
POINT (-68.98503133599962 45.254228894000505),1981,Maine,1133033,16,6,1074,1116,1050,24,959,91,9,12,3,0,686,278,141,325,117,632,0,0
POINT (-76.60926011099963 39.29058096400047),1981,Maryland,4261905,24,10,3145,505,2789,356,2100,689,222,98,36,0,2023,983,376,356,715,2074,0,0
