Geo_Loc,Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
POINT (-82.40426005599966 40.06021014100048),1999,Ohio,11335454,88,49,11528,6357,10009,1519,6044,3965,1154,341,24,0,8206,4941,2201,213,84,7046,2796,1389
POINT (-97.52107021399968 35.47203135600046),1999,Oklahoma,3437147,77,21,4469,3196,4182,287,3382,800,241,46,0,0,2632,1607,801,14,1288,2541,497,129
POINT (-120.15503132599969 44.56744942400047),1999,Oregon,3393941,36,16,3627,2213,3560,67,2878,682,53,14,0,0,1896,974,504,575,23,641,1976,412
POINT (-77.86070029399963 40.79373015200048),1999,Pennsylvania,12263805,67,34,11176,1234,9973,1203,7091,2882,808,351,44,0,6495,3497,1501,437,2958,6302,1448,31
POINT (-71.52247031399963 41.70828019300046),1999,Rhode Island,1040402,5,3,771,324,718,53,536,182,34,16,3,0,599,268,123,4,175,334,242,16
POINT (-81.04537120699968 33.998821303000454),1999,South Carolina,3974682,46,25,6897,2228,6195,702,3979,2216,589,109,4,0,4014,2421,1169,9,329,4611,1342,606
POINT (-100.3735306369997 44.353130053000484),1999,South Dakota,750412,66,4,785,675,782,3,639,143,3,0,0,0,387,210,116,0,0,226,336,223
POINT (-85.77449091399967 35.68094058000048),1999,Tennessee,5638706,95,29,7436,3149,6096,1340,3726,2370,979,341,20,0,4786,3195,1540,108,918,4783,1090,537
POINT (-99.42677020599967 31.827240407000488),1999,Texas,20558220,254,28,8278,1942,7522,756,5750,1772,480,221,55,0,4580,2498,1120,131,727,6643,571,206
POINT (-111.58713063499971 39.360700171000474),1999,Utah,2203482,29,9,2326,959,2234,92,1326,908,84,7,1,0,1107,599,350,171,585,996,383,191
POINT (-72.51764079099962 43.62538123900049),1999,Vermont,604683,14,4,1107,353,1078,29,872,206,25,4,0,0,555,264,142,15,395,372,308,17
POINT (-78.45789046299967 37.54268067400045),1999,Virginia,7000174,134,42,8875,6455,7922,953,5584,2338,738,206,9,0,5651,3556,1607,476,1760,4469,1522,648
POINT (-120.47001078999972 47.52227862900048),1999,Washington,5842564,39,20,4815,2485,4778,37,4142,636,30,7,0,0,2240,974,554,1039,46,1903,1017,810
POINT (-80.71264013499967 38.66551020200046),1999,West Virginia,1811799,55,18,3647,2923,3334,313,2020,1314,249,60,4,0,2526,1536,789,184,90,1750,1196,427
POINT (-89.81637074199966 44.39319117400049),1999,Wisconsin,5332666,72,32,7118,4562,6560,558,4970,1590,392,164,2,0,5362,2827,1295,449,68,5115,1419,67
POINT (-108.10983035299967 43.23554134300048),1999,Wyoming,491780,23,14,2432,2678,2406,26,1888,518,22,0,2,2,1705,700,382,0,0,1060,236,1136
POINT (-86.63186076199969 32.84057112200048),2000,Alabama,4452173,67,22,4424,3628,3835,589,1927,1908,499,83,7,0,3325,2108,1160,42,19,2423,1708,232
POINT (-147.72205903599973 64.84507995700051),2000,Alaska,627963,30,6,1218,978,1204,14,1058,146,11,3,0,0,685,343,136,273,0,359,473,113
POINT (-111.76381127699972 34.865970280000454),2000,Arizona,5160586,15,13,2634,2124,2402,232,1566,836,212,20,0,0,1342,886,523,5,171,1616,506,336
POINT (-92.27449074299966 34.74865012400045),2000,Arkansas,2678588,75,21,3049,4637,2929,120,1691,1238,99,21,0,0,2250,1634,1073,1,2,1465,1580,1
POINT (-120.99999953799971 37.63864012300047),2000,California,33987977,58,56,18582,1914,15875,2707,11504,4371,1748,838,93,28,29602,5393,2656,288,2356,12494,2523,921
POINT (-106.13361092099967 38.843840757000464),2000,Colorado,4326921,64,30,7679,3301,7516,163,5948,1568,159,4,0,0,2961,1642,888,356,429,3019,1004,2871
POINT (-72.64984095199964 41.56266102000046),2000,Connecticut,3411777,8,8,2422,506,2274,148,1666,608,119,25,4,0,1601,647,326,48,266,1543,511,54
POINT (-75.57774116799965 39.008830667000495),2000,Delaware,786373,3,3,913,185,832,81,424,408,64,14,3,0,606,287,154,0,2,483,428,0
POINT (-77.036871 38.907192),2000,District Of Columbia,572046,1,1,366,0,329,37,113,216,31,6,0,0,197,101,58,1,52,78,235,0
POINT (-81.92896053899966 28.932040377000476),2000,Florida,16047515,67,35,10179,2631,9630,549,6987,2643,480,67,2,0,4832,2645,1364,50,125,7031,2150,823
POINT (-83.62758034599966 32.83968109300048),2000,Georgia,8227303,159,33,6771,5307,5889,882,3330,2559,685,159,38,0,5569,3208,1702,0,275,4251,1985,260
POINT (-157.85774940299973 21.304850435000446),2000,Hawaii,1213519,5,4,1087,377,1085,2,1062,23,0,2,0,0,334,135,77,23,12,501,164,387
POINT (-114.3637300419997 43.682630005000476),2000,Idaho,1299430,44,19,3752,3202,3654,98,3070,584,66,29,3,0,1892,1055,499,536,111,349,1036,1720
POINT (-88.99771017799969 40.48501028300046),2000,Illinois,12434161,102,24,7703,1081,7476,227,5528,1948,209,17,1,0,3297,1737,940,97,262,5399,1508,437
POINT (-86.14996019399968 39.766910452000445),2000,Indiana,6091866,92,40,8433,6207,7907,526,5095,2812,441,84,1,0,5617,3168,1741,140,962,4742,1991,598
POINT (-93.81649055599968 42.46940091300047),2000,Iowa,2929067,99,18,4141,2447,4071,70,2873,1198,67,3,0,0,2101,1230,673,25,1,1708,1529,878
POINT (-98.20078122699965 38.34774030000045),2000,Kansas,2693681,105,11,2475,1551,2372,103,1721,651,93,10,0,0,1270,709,394,51,114,1287,469,554
POINT (-84.77497104799966 37.645970271000465),2000,Kentucky,4049021,120,36,9874,3302,9250,624,6074,3176,554,68,2,0,5697,3025,1575,117,976,6734,1685,362
POINT (-92.44568007099969 31.31266064400046),2000,Louisiana,4471885,64,26,8032,1484,7289,743,5002,2287,597,134,12,0,4375,2446,1160,1,119,5755,2147,10
POINT (-68.98503133599962 45.254228894000505),2000,Maine,1277072,16,14,3062,2062,3028,34,2792,236,29,5,0,0,1526,677,412,0,164,2477,110,311
POINT (-76.60926011099963 39.29058096400047),2000,Maryland,5311034,24,15,4009,1481,3653,356,2422,1231,265,77,14,0,2768,1390,633,3,150,2870,920,66
POINT (-72.08269067499964 42.27687047000046),2000,Massachusetts,6361104,14,11,3031,995,2938,93,2026,912,81,11,1,0,1745,794,448,173,410,1352,1087,9
POINT (-84.71439026999968 44.6613195430005),2000,Michigan,9952450,83,31,6601,4745,6383,218,4677,1706,184,28,6,0,4480,2157,1157,256,236,3888,2146,75
POINT (-94.79420050299967 46.35564873600049),2000,Minnesota,4933692,87,22,3654,4398,3609,45,2990,619,44,1,0,0,2317,1350,629,805,497,1153,980,219
POINT (-89.53803082499968 32.745510099000455),2000,Mississippi,2848353,82,18,4395,2193,3956,439,2226,1730,399,39,1,0,2758,1711,923,14,188,2585,1534,74
POINT (-92.56630005299968 38.635790776000476),2000,Missouri,5607285,115,18,4802,1786,4544,258,2719,1825,212,45,1,0,2573,1387,814,44,959,1838,1794,167
POINT (-109.42442064499971 47.06652897200047),2000,Montana,903773,56,17,4471,1751,4417,54,3950,467,36,16,2,0,2133,805,321,1068,108,185,1332,1778
POINT (-99.36572062299967 41.6410409880005),2000,Nebraska,1713820,93,12,1733,2659,1722,11,1318,404,11,0,0,0,1100,682,366,123,0,292,1141,177
POINT (-117.07184056399967 39.493240390000494),2000,Nevada,2018741,17,7,2400,162,2322,78,1646,676,75,2,0,1,1097,491,281,102,36,1518,126,618
POINT (-71.50036091999965 43.65595011300047),2000,New Hampshire,1239882,10,10,2504,1156,2488,16,2205,283,13,3,0,0,1264,554,335,32,212,1830,319,111
POINT (-74.27369128799967 40.13057004800049),2000,New Jersey,8430621,21,17,5735,487,5411,324,3991,1420,241,64,19,0,3124,1362,669,680,1119,2939,990,7
POINT (-106.24058098499967 34.52088095200048),2000,New Mexico,1821204,33,18,3666,2922,3543,123,2613,930,116,7,0,0,1502,906,505,143,137,1735,1229,422
POINT (-75.54397042699964 42.82700103200045),2000,New York,19001780,62,34,10564,1880,10261,303,8148,2113,246,50,7,0,5484,2168,1196,353,1016,6995,2104,96
POINT (-79.15925046299964 35.466220975000454),2000,North Carolina,8081614,100,51,11293,7373,10115,1178,5616,4499,994,179,5,0,7844,4799,2579,308,35,7357,3428,165
POINT (-100.11842104899966 47.47531977900047),2000,North Dakota,642023,53,12,2978,1414,2976,2,2866,110,2,0,0,0,791,468,288,0,383,1954,508,133
POINT (-82.40426005599966 40.06021014100048),2000,Ohio,11363543,88,46,11181,5655,10526,655,6399,4127,546,100,9,0,7290,3660,1970,203,55,6229,3209,1485
POINT (-97.52107021399968 35.47203135600046),2000,Oklahoma,3454365,77,25,5384,3766,5074,310,3701,1373,257,50,3,0,3077,1906,992,13,1039,2812,1360,160
POINT (-120.15503132599969 44.56744942400047),2000,Oregon,3429708,36,18,4362,2226,4270,92,3444,826,82,10,0,0,2101,1123,513,398,29,683,3116,136
POINT (-77.86070029399963 40.79373015200048),2000,Pennsylvania,12284173,67,35,11519,1291,10871,648,7600,3271,523,112,13,0,6325,2804,1482,444,2375,5636,2944,120
POINT (-71.52247031399963 41.70828019300046),2000,Rhode Island,1050268,5,3,836,262,799,37,565,234,28,7,2,0,611,225,124,3,86,370,372,5
POINT (-81.04537120699968 33.998821303000454),2000,South Carolina,4024223,46,27,7000,2882,6427,573,3880,2547,515,58,0,0,4067,2414,1268,1,181,4502,1691,625
POINT (-100.3735306369997 44.353130053000484),2000,South Dakota,755844,66,6,1170,1026,1168,2,971,197,1,0,1,0,636,304,155,0,0,370,501,299
POINT (-85.77449091399967 35.68094058000048),2000,Tennessee,5703719,95,29,7890,2724,6913,977,4039,2874,785,181,11,0,4791,2899,1441,9,753,4909,1739,480
POINT (-99.42677020599967 31.827240407000488),2000,Texas,20944499,254,35,9800,3010,8980,820,6568,2412,597,194,29,0,5522,3012,1391,164,439,6764,2337,96
POINT (-111.58713063499971 39.360700171000474),2000,Utah,2244502,29,13,2607,2151,2456,151,1671,785,121,27,3,0,1516,786,375,283,422,1049,695,158
POINT (-72.51764079099962 43.62538123900049),2000,Vermont,609618,14,4,1072,392,1062,10,897,165,9,1,0,0,539,235,127,22,317,345,377,11
POINT (-78.45789046299967 37.54268067400045),2000,Virginia,7105817,134,40,8906,5734,8501,405,5962,2539,374,30,1,0,4938,2827,1478,368,1537,4246,2150,605
POINT (-120.47001078999972 47.52227862900048),2000,Washington,5910512,39,23,4933,3485,4850,83,3915,935,77,6,0,0,2400,1261,688,566,24,1573,1957,813
POINT (-80.71264013499967 38.66551020200046),2000,West Virginia,1807021,55,17,3855,2367,3700,155,2352,1348,139,16,0,0,2404,1384,788,132,0,1813,1496,414
POINT (-89.81637074199966 44.39319117400049),2000,Wisconsin,5373999,72,32,7063,4649,6868,195,5230,1638,162,33,0,0,4667,2210,1267,307,64,4974,1681,37
POINT (-108.10983035299967 43.23554134300048),2000,Wyoming,494300,23,14,2741,2383,2709,32,2170,539,28,4,0,0,1494,736,364,0,0,1064,479,1198
POINT (-86.63186076199969 32.84057112200048),2001,Alabama,4467634,67,21,4599,3066,4312,287,2641,1671,239,40,8,0,2878,1691,957,68,6,2681,1638,206
POINT (-147.72205903599973 64.84507995700051),2001,Alaska,633714,30,8,1210,1710,1202,8,1049,153,8,0,0,0,652,414,157,264,0,361,476,109
POINT (-111.76381127699972 34.865970280000454),2001,Arizona,5273477,15,13,2680,2065,2547,133,1656,891,120,13,0,0,1345,844,500,0,142,1731,528,279
POINT (-92.27449074299966 34.74865012400045),2001,Arkansas,2691571,75,21,3378,4287,3291,87,2029,1262,74,13,0,0,2169,1522,1012,0,6,1478,1894,0
POINT (-120.99999953799971 37.63864012300047),2001,California,34479458,58,55,18705,1370,15997,2708,11216,4781,1805,750,118,35,34234,5412,2692,190,1989,12777,2774,975
POINT (-106.13361092099967 38.843840757000464),2001,Colorado,4425687,64,30,7796,3154,7691,105,6214,1477,99,6,0,0,2793,1528,881,274,520,2914,1181,2907
POINT (-72.64984095199964 41.56266102000046),2001,Connecticut,3432835,8,8,2244,676,2038,206,1358,680,122,66,18,0,1668,773,350,25,288,1356,513,62
POINT (-75.57774116799965 39.008830667000495),2001,Delaware,795699,3,3,919,176,813,106,389,424,69,35,2,0,597,312,163,0,17,520,382,0
POINT (-77.036871 38.907192),2001,District Of Columbia,574504,1,1,365,0,325,40,103,222,29,9,2,0,203,106,62,3,63,86,213,0
POINT (-81.92896053899966 28.932040377000476),2001,Florida,16356966,67,37,11630,1875,11302,328,8949,2353,289,39,0,0,5266,2334,1377,27,139,8509,2302,653
POINT (-83.62758034599966 32.83968109300048),2001,Georgia,8377038,159,33,6842,5203,6345,497,3974,2371,428,65,4,0,5080,2821,1521,0,306,4139,2080,317
POINT (-157.85774940299973 21.304850435000446),2001,Hawaii,1225948,5,3,1072,23,1070,2,1037,33,0,2,0,0,349,106,64,14,14,527,151,366
POINT (-114.3637300419997 43.682630005000476),2001,Idaho,1319962,44,19,4018,2917,3964,54,3311,653,47,7,0,0,1874,994,525,441,1,551,1459,1566
POINT (-88.99771017799969 40.48501028300046),2001,Illinois,12488445,102,25,8049,1076,7711,338,5576,2135,305,33,0,0,3621,1945,986,98,210,5916,1423,402
POINT (-86.14996019399968 39.766910452000445),2001,Indiana,6127760,92,43,8883,6812,8137,746,5255,2882,661,85,0,0,5975,3669,1840,154,647,5201,2098,783
POINT (-93.81649055599968 42.46940091300047),2001,Iowa,2931997,99,19,4463,2472,4402,61,3297,1105,60,1,0,0,2119,1179,675,14,14,1709,1553,1173
POINT (-98.20078122699965 38.34774030000045),2001,Kansas,2702162,105,11,2603,1412,2499,104,1889,610,100,4,0,0,1153,690,374,18,138,1429,447,571
POINT (-84.77497104799966 37.645970271000465),2001,Kentucky,4068132,120,37,10218,3287,9580,638,6411,3169,589,48,1,0,5478,3076,1601,54,947,7123,1679,415
POINT (-92.44568007099969 31.31266064400046),2001,Louisiana,4477875,64,27,8181,1674,7865,316,5694,2171,289,27,0,0,3803,1973,1116,0,172,5614,2380,15
POINT (-68.98503133599962 45.254228894000505),2001,Maine,1285692,16,13,2941,1804,2817,124,2534,283,83,38,3,0,1919,802,397,0,243,2262,165,271
POINT (-76.60926011099963 39.29058096400047),2001,Maryland,5374691,24,15,4080,1395,3579,501,2262,1317,331,155,15,0,2778,1578,681,0,91,3022,906,61
POINT (-72.08269067499964 42.27687047000046),2001,Massachusetts,6397634,14,11,3198,817,2956,242,1977,979,140,89,13,0,2049,1005,489,125,445,1562,1064,2
POINT (-84.71439026999968 44.6613195430005),2001,Michigan,9991120,83,31,6906,4409,6348,558,4496,1852,425,130,3,0,4932,2759,1232,264,163,3923,2524,32
POINT (-94.79420050299967 46.35564873600049),2001,Minnesota,4982796,87,19,3945,2990,3899,46,3187,712,42,4,0,0,2142,1104,587,833,343,1272,1269,228
POINT (-89.53803082499968 32.745510099000455),2001,Mississippi,2852994,82,19,4693,2242,4497,196,2895,1602,189,7,0,0,2445,1533,878,22,200,2767,1641,63
POINT (-92.56630005299968 38.635790776000476),2001,Missouri,5641142,115,21,5009,2656,4749,260,2991,1758,225,32,1,2,3479,1631,893,39,1059,1907,1765,239
POINT (-109.42442064499971 47.06652897200047),2001,Montana,906961,56,20,4623,2677,4595,28,4215,380,27,1,0,0,1739,777,340,1059,152,352,1304,1756
POINT (-99.36572062299967 41.6410409880005),2001,Nebraska,1719836,93,12,1932,2448,1927,5,1545,382,5,0,0,0,1005,644,362,140,0,277,1142,373
POINT (-117.07184056399967 39.493240390000494),2001,Nevada,2098399,17,7,2455,100,2346,109,1722,624,104,5,0,0,863,480,284,46,45,1544,141,679
POINT (-71.50036091999965 43.65595011300047),2001,New Hampshire,1255517,10,10,2529,1121,2424,105,1989,435,87,16,2,0,1719,736,388,41,242,1812,385,49
POINT (-74.27369128799967 40.13057004800049),2001,New Jersey,8492671,21,17,5691,514,5214,477,3818,1396,323,123,31,0,3150,1602,702,566,1107,3173,840,5
POINT (-106.24058098499967 34.52088095200048),2001,New Mexico,1831690,33,18,3683,2887,3612,71,2723,889,66,4,1,0,1507,815,475,160,118,1820,1105,480
POINT (-75.54397042699964 42.82700103200045),2001,New York,19082838,62,35,10877,1898,10280,597,7940,2340,443,141,13,0,5654,2690,1305,327,847,7129,2184,390
POINT (-79.15925046299964 35.466220975000454),2001,North Carolina,8210122,100,52,11621,7359,10535,1086,6114,4421,964,119,3,0,7610,4846,2571,220,44,7728,3532,97
POINT (-100.11842104899966 47.47531977900047),2001,North Dakota,639062,53,12,2624,1756,2623,1,2480,143,1,0,0,0,902,539,321,0,321,1697,486,120
POINT (-82.40426005599966 40.06021014100048),2001,Ohio,11387404,88,45,11045,5380,9916,1129,5849,4067,919,205,5,0,6984,4110,2012,167,44,6540,3328,966
POINT (-97.52107021399968 35.47203135600046),2001,Oklahoma,3467100,77,23,5074,3321,4789,285,3414,1375,266,18,1,0,2912,1769,892,15,739,2860,1323,137
POINT (-120.15503132599969 44.56744942400047),2001,Oregon,3467937,36,18,4429,2141,4355,74,3584,771,60,13,0,1,2384,1067,501,353,29,710,3219,118
POINT (-77.86070029399963 40.79373015200048),2001,Pennsylvania,12298970,67,35,11680,1095,10398,1282,6610,3788,961,306,15,0,6324,3580,1651,395,1843,5822,3369,251
POINT (-71.52247031399963 41.70828019300046),2001,Rhode Island,1057142,5,3,827,268,752,75,506,246,46,21,8,0,636,292,137,0,68,404,353,2
POINT (-81.04537120699968 33.998821303000454),2001,South Carolina,4064995,46,27,7111,2744,6686,425,4408,2278,391,34,0,0,3560,2237,1202,1,96,4691,1770,553
POINT (-100.3735306369997 44.353130053000484),2001,South Dakota,757972,66,8,1376,1544,1372,4,1143,229,4,0,0,0,586,365,196,0,46,280,622,428
POINT (-85.77449091399967 35.68094058000048),2001,Tennessee,5750789,95,30,8133,2817,7502,631,4624,2878,554,76,1,0,4495,2643,1401,13,741,5192,1736,451
POINT (-99.42677020599967 31.827240407000488),2001,Texas,21319622,254,36,10788,2352,10182,606,7521,2661,477,108,20,1,5419,2807,1446,93,420,7334,2779,162
POINT (-111.58713063499971 39.360700171000474),2001,Utah,2283715,29,13,2861,1884,2677,184,1805,872,140,42,2,0,1540,814,429,204,461,1174,834,188
POINT (-72.51764079099962 43.62538123900049),2001,Vermont,612223,14,4,1045,415,1020,25,815,205,23,2,0,0,523,266,142,18,260,405,359,3
POINT (-78.45789046299967 37.54268067400045),2001,Virginia,7198362,134,40,9126,5474,8570,556,5925,2645,445,108,3,0,5403,2997,1504,361,1491,4596,2121,557
POINT (-120.47001078999972 47.52227862900048),2001,Washington,5985722,39,25,5087,4038,5012,75,4107,905,68,7,0,0,2688,1284,704,328,34,1483,2613,629
POINT (-80.71264013499967 38.66551020200046),2001,West Virginia,1801481,55,17,4013,2192,3759,254,2330,1429,229,25,0,0,2479,1467,799,121,0,2056,1475,361
POINT (-89.81637074199966 44.39319117400049),2001,Wisconsin,5406835,72,33,7250,4795,6845,405,5140,1705,287,107,11,0,5196,2598,1330,267,28,5215,1695,45
POINT (-108.10983035299967 43.23554134300048),2001,Wyoming,494657,23,14,2968,2142,2940,28,2290,650,23,4,1,0,1409,731,401,0,1,1215,367,1385
POINT (-86.63186076199969 32.84057112200048),2002,Alabama,4480089,67,22,5254,2776,4922,332,3274,1648,288,42,2,0,3164,1752,944,53,24,3220,1707,250
POINT (-147.72205903599973 64.84507995700051),2002,Alaska,642337,30,7,1352,1203,1343,9,1216,127,8,1,0,0,635,320,147,254,0,333,647,118
POINT (-111.76381127699972 34.865970280000454),2002,Arizona,5396255,15,13,2782,1963,2561,221,1491,1070,196,24,1,0,1640,987,561,4,151,1878,435,314
POINT (-92.27449074299966 34.74865012400045),2002,Arkansas,2705927,75,21,3614,4051,3503,111,2448,1055,88,21,2,0,2387,1453,888,6,36,1454,2117,1
POINT (-120.99999953799971 37.63864012300047),2002,California,34871843,58,54,18501,1209,15378,3123,10469,4909,1991,933,166,33,23199,5617,2781,89,1905,12813,2882,812
POINT (-106.13361092099967 38.843840757000464),2002,Colorado,4490406,64,28,7719,2501,7531,188,5890,1641,172,16,0,0,2822,1620,863,207,318,3177,1016,3001
POINT (-72.64984095199964 41.56266102000046),2002,Connecticut,3458749,8,8,2288,632,2011,277,1394,617,148,100,29,0,1765,936,358,42,266,1428,528,24
POINT (-75.57774116799965 39.008830667000495),2002,Delaware,806169,3,3,918,177,792,126,417,375,81,42,3,0,584,346,156,0,32,528,358,0
POINT (-77.036871 38.907192),2002,District Of Columbia,573158,1,1,365,0,317,48,118,199,30,13,5,0,225,119,58,1,68,113,183,0
POINT (-81.92896053899966 28.932040377000476),2002,Florida,16689370,67,36,12589,551,12456,133,10360,2096,130,3,0,0,4306,2041,1315,20,160,9157,2345,907
POINT (-83.62758034599966 32.83968109300048),2002,Georgia,8508256,159,34,7107,5303,6519,588,4314,2205,440,133,15,0,5240,2956,1500,3,274,4346,2230,254
POINT (-157.85774940299973 21.304850435000446),2002,Hawaii,1239613,5,4,1082,378,1080,2,1069,11,1,1,0,0,304,114,76,13,7,538,180,344
POINT (-114.3637300419997 43.682630005000476),2002,Idaho,1340372,44,24,4211,4549,4160,51,3344,816,47,4,0,0,2273,1371,692,165,119,910,1636,1381
POINT (-88.99771017799969 40.48501028300046),2002,Illinois,12525556,102,25,8100,1025,7558,542,5543,2015,419,113,10,0,4192,2165,979,70,238,5961,1419,412
POINT (-86.14996019399968 39.766910452000445),2002,Indiana,6155967,92,42,8594,6736,7546,1048,4644,2902,664,354,30,0,6804,4183,1909,31,263,5085,2451,764
POINT (-93.81649055599968 42.46940091300047),2002,Iowa,2934234,99,20,4719,2581,4630,89,3437,1193,84,5,0,0,2163,1290,717,9,39,1804,1643,1224
POINT (-98.20078122699965 38.34774030000045),2002,Kansas,2713535,105,15,3115,2360,3005,110,2332,673,106,4,0,0,1585,989,502,13,169,1782,588,563
POINT (-84.77497104799966 37.645970271000465),2002,Kentucky,4089875,120,38,10002,3868,9074,928,6517,2557,700,222,6,0,6223,3486,1591,0,878,6982,1794,348
POINT (-92.44568007099969 31.31266064400046),2002,Louisiana,4497267,64,27,8189,1666,8019,170,6359,1660,162,7,1,0,3549,1653,1017,29,137,5526,2484,13
POINT (-68.98503133599962 45.254228894000505),2002,Maine,1295960,16,13,3054,1691,2926,128,2659,267,73,48,7,0,2024,774,386,0,350,2295,190,219
POINT (-76.60926011099963 39.29058096400047),2002,Maryland,5440389,24,13,3786,959,3198,588,2029,1169,354,193,41,0,2677,1646,624,0,73,2805,907,1
POINT (-72.08269067499964 42.27687047000046),2002,Massachusetts,6417206,14,11,3282,733,2997,285,2109,888,181,83,21,0,2265,1030,467,133,307,1778,1063,1
POINT (-84.71439026999968 44.6613195430005),2002,Michigan,10015710,83,30,7109,3841,6488,621,4613,1875,416,194,11,0,5036,2730,1219,363,75,4247,2397,27
POINT (-94.79420050299967 46.35564873600049),2002,Minnesota,5018935,87,16,3725,2115,3691,34,3017,674,32,2,0,0,1663,895,490,492,376,1380,1282,195
POINT (-89.53803082499968 32.745510099000455),2002,Mississippi,2858681,82,20,4493,2807,4374,119,3112,1262,104,15,0,0,2815,1401,873,39,131,2449,1872,2
POINT (-92.56630005299968 38.635790776000476),2002,Missouri,5674825,115,20,4973,2327,4592,381,2798,1794,286,88,7,0,2916,1755,923,38,535,1844,2201,355
POINT (-109.42442064499971 47.06652897200047),2002,Montana,911667,56,22,5161,2869,5144,17,4826,318,16,1,0,0,1627,782,347,1029,527,349,1454,1802
POINT (-99.36572062299967 41.6410409880005),2002,Nebraska,1728292,93,14,2091,3019,2089,2,1707,382,2,0,0,0,1091,717,369,132,0,291,1303,365
POINT (-117.07184056399967 39.493240390000494),2002,Nevada,2173791,17,7,2455,100,2351,104,1751,600,94,8,1,1,1222,485,275,178,23,1377,137,740
POINT (-71.50036091999965 43.65595011300047),2002,New Hampshire,1269089,10,10,2555,1095,2416,139,2010,406,98,34,7,0,1835,737,382,18,263,1868,401,5
POINT (-74.27369128799967 40.13057004800049),2002,New Jersey,8552643,21,17,5760,445,5118,642,3816,1302,364,233,45,0,3296,1803,684,506,1069,3226,955,4
POINT (-106.24058098499967 34.52088095200048),2002,New Mexico,1855309,33,18,3850,2720,3730,120,2870,860,112,6,0,2,1863,908,480,228,131,1705,1537,249
POINT (-75.54397042699964 42.82700103200045),2002,New York,19137800,62,36,10990,2150,10263,727,8101,2162,457,240,30,0,6369,2942,1318,362,1030,7113,2076,409
POINT (-79.15925046299964 35.466220975000454),2002,North Carolina,8326201,100,51,11460,7155,10087,1373,6144,3943,938,400,35,0,8304,5255,2499,214,48,7499,3613,86
POINT (-100.11842104899966 47.47531977900047),2002,North Dakota,638168,53,9,2725,560,2725,0,2586,139,0,0,0,0,655,377,241,0,297,2059,292,77
POINT (-82.40426005599966 40.06021014100048),2002,Ohio,11407889,88,44,10751,5309,9312,1439,5569,3743,859,547,33,0,7679,4719,2010,208,41,6355,3425,722
POINT (-97.52107021399968 35.47203135600046),2002,Oklahoma,3489080,77,25,5738,3387,5501,237,4142,1359,223,14,0,0,3159,1846,926,15,447,3557,1379,340
POINT (-120.15503132599969 44.56744942400047),2002,Oregon,3513424,36,18,4496,2074,4362,134,3446,916,100,32,2,0,2222,1168,537,354,27,731,3274,110
POINT (-77.86070029399963 40.79373015200048),2002,Pennsylvania,12331031,67,35,11720,1055,10333,1387,6982,3351,894,437,56,0,6844,3791,1586,382,1874,5823,3439,202
POINT (-71.52247031399963 41.70828019300046),2002,Rhode Island,1065995,5,3,840,255,756,84,528,228,53,27,4,0,639,321,131,2,63,441,332,2
POINT (-81.04537120699968 33.998821303000454),2002,South Carolina,4107795,46,27,7346,2509,6731,615,4599,2132,460,153,2,0,4295,2524,1176,0,183,4803,1884,476
POINT (-100.3735306369997 44.353130053000484),2002,South Dakota,760020,66,8,1613,1307,1606,7,1378,228,7,0,0,0,628,367,189,0,220,209,668,516
POINT (-85.77449091399967 35.68094058000048),2002,Tennessee,5795918,95,28,7593,2627,6797,796,4642,2155,567,221,8,0,4392,2728,1227,73,819,4414,1835,452
POINT (-99.42677020599967 31.827240407000488),2002,Texas,21690325,254,36,11104,2036,10384,720,7816,2568,519,169,30,2,6184,2836,1408,72,419,7473,2816,324
POINT (-111.58713063499971 39.360700171000474),2002,Utah,2324815,29,14,2922,2188,2690,232,1728,962,183,49,0,0,1551,901,454,70,581,1176,884,211
POINT (-72.51764079099962 43.62538123900049),2002,Vermont,615442,14,4,1148,312,1113,35,922,191,26,9,0,0,603,268,136,33,253,533,327,2
POINT (-78.45789046299967 37.54268067400045),2002,Virginia,7286873,134,40,9132,5468,8322,810,5866,2456,608,171,31,0,5832,3276,1515,356,1493,4613,2138,532
POINT (-120.47001078999972 47.52227862900048),2002,Washington,6052349,39,27,5688,4167,5611,77,4344,1267,73,4,0,0,2708,1645,842,204,39,1610,3213,622
POINT (-80.71264013499967 38.66551020200046),2002,West Virginia,1805414,55,17,4125,2080,3794,331,2549,1245,249,79,3,0,2781,1514,760,213,0,2058,1467,387
POINT (-89.81637074199966 44.39319117400049),2002,Wisconsin,5445162,72,35,7480,5295,7069,411,5292,1777,306,90,15,0,5085,2759,1334,247,1,5347,1765,120
POINT (-108.10983035299967 43.23554134300048),2002,Wyoming,500017,23,15,3135,2340,3089,46,2399,690,41,4,1,0,1568,802,402,6,0,1247,439,1443
POINT (-86.63186076199969 32.84057112200048),2003,Alabama,4503491,67,24,5616,3144,5398,218,3455,1943,205,13,0,0,3186,1764,1042,39,13,3426,1901,237
